id,userFid,orgFid,isCharge,createdOn
145,900000345,49,0,2017-11-29 14:09:53
146,900000361,49,0,2017-11-29 14:09:53
147,900000368,49,1,2017-11-29 14:09:53
148,900000371,49,1,2017-11-29 14:09:53
149,900000409,49,0,2017-11-29 14:09:53
150,900000417,49,0,2017-11-29 14:09:53
151,900000418,49,0,2017-11-29 14:09:53
152,900000425,49,1,2017-11-29 14:09:53
153,900000030,59,1,2017-11-29 14:09:53
154,900000407,59,1,2017-11-29 14:09:53
155,900000162,60,0,2017-11-29 14:09:53
156,900000164,60,0,2017-11-29 14:09:53
157,900000165,60,0,2017-11-29 14:09:53
158,900000167,60,0,2017-11-29 14:09:53
159,900000168,60,0,2017-11-29 14:09:53
160,900000346,60,0,2017-11-29 14:09:53
161,900000272,61,1,2017-11-29 14:09:53
162,900000384,61,1,2017-11-29 14:09:53
163,900000404,61,1,2017-11-29 14:09:53
164,119323,62,0,2017-11-29 14:09:53
165,900000359,62,0,2017-11-29 14:09:53
166,900000399,62,0,2017-11-29 14:09:53
167,900000400,62,0,2017-11-29 14:09:53
168,900000401,62,0,2017-11-29 14:09:53
169,900000405,62,0,2017-11-29 14:09:53
170,900000406,62,0,2017-11-29 14:09:53
171,900000408,62,0,2017-11-29 14:09:53
256,101586,54,1,2017-11-29 14:09:53
257,101872,54,0,2017-11-29 14:09:53
258,102453,54,0,2017-11-29 14:09:53
259,103150,54,0,2017-11-29 14:09:53
260,103153,54,0,2017-11-29 14:09:53
261,104150,54,0,2017-11-29 14:09:53
262,104334,54,0,2017-11-29 14:09:53
263,105049,54,0,2017-11-29 14:09:53
264,105743,54,0,2017-11-29 14:09:53
265,105757,54,0,2017-11-29 14:09:53
266,105869,54,0,2017-11-29 14:09:53
267,105874,54,0,2017-11-29 14:09:53
268,106087,54,0,2017-11-29 14:09:53
269,106763,54,0,2017-11-29 14:09:53
270,106765,54,0,2017-11-29 14:09:53
271,106770,54,0,2017-11-29 14:09:53
272,106956,54,0,2017-11-29 14:09:53
273,107683,54,0,2017-11-29 14:09:53
274,110090,54,0,2017-11-29 14:09:53
275,110303,54,0,2017-11-29 14:09:53
276,112600,54,0,2017-11-29 14:09:53
277,112603,54,0,2017-11-29 14:09:53
278,114072,54,0,2017-11-29 14:09:53
279,115536,54,0,2017-11-29 14:09:53
280,115538,54,0,2017-11-29 14:09:53
281,115539,54,0,2017-11-29 14:09:53
282,115541,54,0,2017-11-29 14:09:53
283,117554,54,0,2017-11-29 14:09:53
284,117921,54,0,2017-11-29 14:09:53
285,120956,54,0,2017-11-29 14:09:53
286,121335,54,0,2017-11-29 14:09:53
287,121349,54,0,2017-11-29 14:09:53
288,121352,54,0,2017-11-29 14:09:53
289,121368,54,0,2017-11-29 14:09:53
290,121369,54,0,2017-11-29 14:09:53
291,121370,54,0,2017-11-29 14:09:53
292,121371,54,0,2017-11-29 14:09:53
293,121375,54,0,2017-11-29 14:09:53
294,121396,54,0,2017-11-29 14:09:53
295,121426,54,0,2017-11-29 14:09:53
296,121432,54,0,2017-11-29 14:09:53
297,121435,54,0,2017-11-29 14:09:53
298,121447,54,0,2017-11-29 14:09:53
299,800121374,54,0,2017-11-29 14:09:53
300,900000010,54,0,2017-11-29 14:09:53
301,900000011,54,0,2017-11-29 14:09:53
302,900000028,54,0,2017-11-29 14:09:53
303,900000061,54,0,2017-11-29 14:09:53
304,900000062,54,0,2017-11-29 14:09:53
305,900000063,54,0,2017-11-29 14:09:53
306,900000069,54,0,2017-11-29 14:09:53
307,900000070,54,0,2017-11-29 14:09:53
308,900000071,54,0,2017-11-29 14:09:53
309,900000073,54,0,2017-11-29 14:09:53
310,900000116,54,0,2017-11-29 14:09:53
311,900000117,54,0,2017-11-29 14:09:53
312,900000119,54,0,2017-11-29 14:09:53
313,900000120,54,0,2017-11-29 14:09:53
314,900000151,54,0,2017-11-29 14:09:53
315,900000153,54,0,2017-11-29 14:09:53
316,900000158,54,0,2017-11-29 14:09:53
317,900000159,54,0,2017-11-29 14:09:53
318,900000169,54,0,2017-11-29 14:09:53
319,900000171,54,0,2017-11-29 14:09:53
320,900000190,54,0,2017-11-29 14:09:53
321,900000196,54,0,2017-11-29 14:09:53
322,900000201,54,0,2017-11-29 14:09:53
323,900000214,54,0,2017-11-29 14:09:53
324,900000223,54,0,2017-11-29 14:09:53
325,900000227,54,0,2017-11-29 14:09:53
326,900000243,54,0,2017-11-29 14:09:53
327,900000245,54,0,2017-11-29 14:09:53
328,900000251,54,0,2017-11-29 14:09:53
329,900000266,54,0,2017-11-29 14:09:53
